t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.50000000,0.0625000000,0.0625000000,8.00000000
0.20000000,4.87010144,0.12418828,0.09783349,-1.00943197,-0.05524591,0.47748821,0.0555651121,0.0599425621,8.64892836
0.40000000,4.76393928,-0.01268625,0.20171440,0.23526528,-0.91296747,0.60094978,0.0502526463,0.0558371901,9.24895284
0.60000000,4.90603560,-0.06652617,0.33507990,0.73437632,0.52117612,0.66262121,0.0589671806,0.0552978907,8.46564852
0.80000000,4.91887322,0.10977859,0.43622718,-0.68745310,0.82332177,0.31551462,0.0607812842,0.0563611826,8.39460499
1.00000000,4.72375354,0.12545416,0.48226907,-0.79768521,-0.73197949,0.27911345,0.0522327212,0.0565928959,9.47419644
1.20000000,4.72667938,-0.03917614,0.59183963,0.70339521,-0.36095613,0.79053515,0.0537937852,0.0565383588,9.46199150
1.40000000,4.83114055,0.05495790,0.73277352,-0.05608029,1.02698446,0.43835817,0.0608762369,0.0563841865,8.85373621
1.60000000,4.68275410,0.18470234,0.75205301,-1.10617266,-0.12872528,-0.09905455,0.0555986818,0.0560084732,9.69812555
1.80000000,4.57931514,0.02751601,0.79083094,0.32240645,-0.86120504,0.63590872,0.0523149734,0.0566193904,10.38774820
2.00000000,4.69370735,0.03687131,0.94511448,0.27850880,0.91500810,0.57895851,0.0593677254,0.0563083376,9.62779789
2.20000000,4.59579570,0.20246836,0.95638090,-1.05019158,0.16893425,-0.34432364,0.0566526927,0.0559115201,10.22185196
2.40000000,4.47381456,0.06356073,0.94213453,0.21731226,-0.98467126,0.48290557,0.0527136307,0.0564455049,11.10722393
2.60000000,4.58765747,0.05513095,1.08831797,0.32693073,0.92423270,0.53750358,0.0587400887,0.0561999344,10.27224706
2.80000000,4.49883374,0.21838513,1.06877673,-0.96909876,0.06291846,-0.55397537,0.0562112879,0.0559423338,10.85663463
3.00000000,4.41472329,0.06353804,1.03759629,0.44601825,-0.88718682,0.51377729,0.0534358199,0.0562433096,11.52933268
