t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.50000000,0.0625000000,0.0625000000,8.00000000
0.20000000,4.87010150,0.12418827,0.09783349,-1.00943196,-0.05524533,0.47748819,0.0555651105,0.0599193101,8.64892803
0.40000000,4.76393924,-0.01268608,0.20171438,0.23526371,-0.91296786,0.60094959,0.0502526307,0.0558440044,9.24895307
0.60000000,4.90603535,-0.06652630,0.33507987,0.73437727,0.52117402,0.66262151,0.0589671428,0.0553428994,8.46564980
0.80000000,4.91887338,0.10977828,0.43622726,-0.68745075,0.82332321,0.31551523,0.0607812612,0.0563571395,8.39460422
1.00000000,4.72375384,0.12545442,0.48226918,-0.79768786,-0.73197649,0.27911258,0.0522326989,0.0566491158,9.47419459
1.20000000,4.72667889,-0.03917592,0.59183948,0.70339283,-0.36096095,0.79053449,0.0537937061,0.0565347553,9.46199445
1.40000000,4.83114036,0.05495720,0.73277356,-0.05607520,1.02698311,0.43836075,0.0608761588,0.0563809539,8.85373729
1.60000000,4.68275471,0.18470229,0.75205346,-1.10617292,-0.12871797,-0.09905464,0.0555986321,0.0560136571,9.69812170
1.80000000,4.57931468,0.02751674,0.79083086,0.32239885,-0.86120969,0.63590495,0.0523148590,0.0566364623,10.38775127
2.00000000,4.69370663,0.03687037,0.94511439,0.27851533,0.91500191,0.57896339,0.0593675719,0.0562758431,9.62780235
2.20000000,4.59579640,0.20246791,0.95638186,-1.05018926,0.16894572,-0.34432169,0.0566525882,0.0559132181,10.22184723
2.40000000,4.47381393,0.06356189,0.94213469,0.21729999,-0.98467619,0.48289799,0.0527134552,0.0564158061,11.10722844
2.60000000,4.58765622,0.05512960,1.08831799,0.32693956,0.92422282,0.53751195,0.0587398485,0.0561980598,10.27225549
2.80000000,4.49883438,0.21838460,1.06877848,-0.96909700,0.06293573,-0.55397295,0.0562111122,0.0559434154,10.85662970
3.00000000,4.41472183,0.06353939,1.03759668,0.44600293,-0.88719764,0.51376731,0.0534355446,0.0562587112,11.52934380
3.20000000,4.53709006,0.09879103,1.16693324,0.18429504,1.06738466,0.27698340,0.0588180128,0.0561538015,10.58529212
3.40000000,4.43219565,0.22892793,1.09284864,-0.82440660,-0.33098451,-0.67882023,0.0551177107,0.0560266808,11.33524352
3.60000000,4.42011701,0.05402501,1.07742257,0.76814264,-0.54769688,0.59998168,0.0544375343,0.0560697611,11.47547685
3.80000000,4.54002150,0.15607721,1.16905750,-0.04806398,1.11179760,-0.10764943,0.0589644409,0.0562148329,10.55326349
4.00000000,4.42429316,0.22778753,1.04758934,-0.56081058,-0.71487154,-0.65149219,0.0539550271,0.0560931615,11.41079753
4.20000000,4.48510207,0.05976896,1.05035651,0.96718751,-0.16203775,0.53692017,0.0554233169,0.0559817869,10.99665914
4.40000000,4.59514956,0.20444832,1.09242540,-0.19442681,1.02985457,-0.38934378,0.0591366050,0.0562854441,10.19364873
4.60000000,4.48176145,0.23593985,0.94779683,-0.36858335,-0.84529893,-0.63214429,0.0531424921,0.0561420916,11.00518168
4.80000000,4.57947188,0.07905250,0.93678598,1.06399058,-0.05062145,0.33963425,0.0557128672,0.0559285369,10.36002201
5.00000000,4.70176826,0.22745276,0.94599452,-0.13049927,1.01704370,-0.44562510,0.0598335326,0.0564033364,9.54602034
5.20000000,4.59043351,0.27765604,0.79637594,-0.47389430,-0.68657187,-0.74433372,0.0530348696,0.0562171908,10.25640879
5.40000000,4.66194594,0.11079991,0.73353699,1.06248849,-0.34418007,0.05145312,0.0544153755,0.0559054434,9.84450269
5.60000000,4.83102452,0.21291068,0.72485186,0.23718977,1.04215153,-0.32810089,0.0609122773,0.0564440946,8.83093055
5.80000000,4.74550723,0.34008857,0.59687689,-0.76332466,-0.12218232,-0.80771023,0.0552521710,0.0563416845,9.27915167
6.00000000,4.70580963,0.19188788,0.47153622,0.61076210,-0.86204928,-0.36582698,0.0512748116,0.0561421254,9.56947211
6.20000000,4.89867773,0.16943599,0.42101258,0.83748349,0.68676373,-0.27742665,0.0596934703,0.0561799441,8.49014882
6.40000000,4.92101521,0.35069355,0.33060422,-0.61380129,0.70034810,-0.61866711,0.0603707429,0.0566331567,8.32740977
6.60000000,4.76806619,0.33735421,0.19828443,-0.45876041,-0.80149458,-0.63018545,0.0510351231,0.0565403091,9.15622336
6.80000000,4.83598954,0.18232935,0.08833917,0.96107181,-0.28073497,-0.49751088,0.0537726511,0.0561675725,8.82304387
7.00000000,4.98788165,0.27548009,-0.01149869,0.20253107,0.97767930,-0.50310286,0.0622475153,0.0565699978,8.02171975
7.20000000,4.88593844,0.42442957,-0.10846764,-1.00407099,0.16828995,-0.46206925,0.0573834144,0.0563446035,8.47731672
7.40000000,4.74755353,0.31389531,-0.20613108,-0.00842887,-0.96643668,-0.56206494,0.0500239268,0.0568301551,9.28419518
7.60000000,4.86992546,0.22226372,-0.33773739,0.81730934,0.31237529,-0.69599917,0.0573139395,0.0563582230,8.63073862
7.80000000,4.91636632,0.38537036,-0.45005778,-0.51532213,0.92109660,-0.36879775,0.0615073125,0.0564105549,8.33660051
8.00000000,4.72729685,0.43810014,-0.49572737,-0.94470092,-0.56061568,-0.20793679,0.0534838378,0.0564190113,9.34202172
8.20000000,4.69183692,0.26670860,-0.58744679,0.59868074,-0.58419344,-0.74181304,0.0525442343,0.0566468834,9.62869159
8.40000000,4.80935057,0.32285959,-0.73715652,0.12068590,0.96659266,-0.54874451,0.0604819084,0.0563617278,8.91559934
8.60000000,4.68588046,0.47411953,-0.77150454,-1.10894869,0.08946391,0.11052505,0.0567876051,0.0559436256,9.55279479
8.80000000,4.55397716,0.33517488,-0.78853056,0.14677058,-0.98899431,-0.50033493,0.0519151339,0.0566598566,10.47743128
9.00000000,4.66564794,0.30296779,-0.94063874,0.41328997,0.77189302,-0.69523992,0.0586575536,0.0562636636,9.74190714
