t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.50000000,0.0625000000,0.0625000000,8.00000000
0.20000000,4.87010251,0.12418813,0.09783349,-1.00943128,-0.05523617,0.47748796,0.0555650118,0.0598728995,8.64892267
0.40000000,4.76393882,-0.01268347,0.20171419,0.23523830,-0.91297232,0.60094656,0.0502521947,0.0558574873,9.24895559
0.60000000,4.90603124,-0.06652821,0.33507934,0.73438994,0.52113921,0.66262588,0.0589661866,0.0554313388,8.46567098
0.80000000,4.91887551,0.10977298,0.43622842,-0.68741155,0.82334299,0.31552552,0.0607804434,0.0562772938,8.39459392
1.00000000,4.72375893,0.12545798,0.48227100,-0.79772666,-0.73192567,0.27909998,0.0522318477,0.0566631699,9.47416341
1.20000000,4.72667136,-0.03917197,0.59183728,0.70334914,-0.36103510,0.79052221,0.0537917509,0.0565172358,9.46203989
1.40000000,4.83113645,0.05494594,0.73277413,-0.05599613,1.02695393,0.43840194,0.0608739647,0.0562937660,8.85375941
1.60000000,4.68276429,0.18470010,0.75206105,-1.10616922,-0.12860208,-0.09905100,0.0555968386,0.0560606274,9.69806229
1.80000000,4.57930803,0.02752851,0.79083075,0.32227193,-0.86127277,0.63584413,0.0523118586,0.0566210375,10.38779594
2.00000000,4.69369357,0.03685566,0.94511354,0.27860975,0.91489239,0.57903851,0.0593634956,0.0563275580,9.62788311
2.20000000,4.59580602,0.20245848,0.95639822,-1.05014136,0.16912060,-0.34428004,0.0566491516,0.0559136398,10.22178313
2.40000000,4.47380405,0.06357955,0.94214057,0.21709864,-0.98473368,0.48278058,0.0527087023,0.0564562634,11.10729836
2.60000000,4.58763266,0.05510895,1.08832053,0.32705928,0.92405068,0.53763842,0.0587333860,0.0562395614,10.27241316
2.80000000,4.49884011,0.21837212,1.06880948,-0.96905282,0.06319274,-0.55391471,0.0562054704,0.0559406623,10.85658380
3.00000000,4.41469680,0.06355943,1.03761055,0.44574808,-0.88733203,0.51361826,0.0534280842,0.0562450924,11.52953134
3.20000000,4.53705399,0.09875954,1.16695115,0.18446388,1.06722694,0.27718722,0.0588087368,0.0561930372,10.58553961
3.40000000,4.43218929,0.22891904,1.09290085,-0.82443847,-0.33066596,-0.67880505,0.0551095575,0.0559949061,11.33527700
3.60000000,4.42006565,0.05403809,1.07745225,0.76790373,-0.54794266,0.59989138,0.0544268670,0.0560729471,11.47586107
3.80000000,4.53996822,0.15603779,1.16910677,-0.04788358,1.11172730,-0.10741686,0.0589522937,0.0562056602,10.55362176
4.00000000,4.42426161,0.22777937,1.04766789,-0.56090949,-0.71461033,-0.65150853,0.0539444235,0.0560400394,11.41101698
4.20000000,4.48502474,0.05976913,1.05042407,0.96699925,-0.16225527,0.53694738,0.0554099337,0.0559626850,10.99720272
4.40000000,4.59506789,0.20441055,1.09251774,-0.19431965,1.02980082,-0.38918378,0.0591217789,0.0562739188,10.19417150
4.60000000,4.48169820,0.23591396,0.94791215,-0.36859248,-0.84517329,-0.63207722,0.0531299118,0.0560764958,11.00562733
