t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
8.60000000,4.68587153,0.47412242,-0.77151537,-1.10895504,0.08943770,0.11054232,0.0567881578,0.0559402439,9.55284595
8.80000000,4.55397188,0.33517338,-0.78854114,0.14680489,-0.98898846,-0.50035003,0.0519158275,0.0566650431,10.47746685
9.00000000,4.66564450,0.30297307,-0.94065045,0.41326473,0.77193028,-0.69522364,0.0586584047,0.0562895867,9.74192437
9.20000000,4.59401411,0.47845402,-0.97550787,-1.00654827,0.37726485,0.30746027,0.0575381148,0.0559210856,10.09580338
9.40000000,4.45143667,0.36450220,-0.94039766,0.05131175,-1.07248750,-0.31166914,0.0525381413,0.0564551542,11.16651331
9.60000000,4.56118179,0.31644657,-1.08068895,0.44882095,0.77909317,-0.66451003,0.0581581833,0.0562022314,10.38048295
9.80000000,4.49528552,0.49132192,-1.08696491,-0.94568599,0.28156332,0.52573768,0.0569769067,0.0559470118,10.72388150
10.00000000,4.39012585,0.35709920,-1.03107758,0.31254608,-1.01642450,-0.34524801,0.0530971337,0.0562647737,11.61369784
10.20000000,4.51548370,0.35432886,-1.16091457,0.31648107,0.98053570,-0.43403855,0.0584955012,0.0561566945,10.64844821
10.40000000,4.42805533,0.50700514,-1.10943156,-0.85660605,-0.10255469,0.71113191,0.0558499452,0.0559926109,11.18765511
10.60000000,4.39211295,0.34046841,-1.06418680,0.68759634,-0.74049070,-0.47841905,0.0538548691,0.0561062175,11.59763095
10.80000000,4.52422987,0.41013865,-1.16711201,0.09084760,1.11249830,-0.06398625,0.0589275009,0.0561869435,10.55340664
11.00000000,4.41857616,0.51506129,-1.06021642,-0.65423279,-0.51015370,0.74948159,0.0546200916,0.0560630780,11.26763237
11.20000000,4.45441323,0.34212759,-1.03279082,0.93781314,-0.38182866,-0.47403944,0.0546616678,0.0559911266,11.13379635
11.40000000,4.58349573,0.46212559,-1.09259413,-0.05349676,1.09289950,0.22958392,0.0593269101,0.0562668000,10.14741010
11.60000000,4.47502297,0.53190827,-0.95666557,-0.49958775,-0.66348241,0.74846721,0.0537992593,0.0561285935,10.86869114
11.80000000,4.54551678,0.36518906,-0.91781892,1.04480445,-0.27019631,-0.29219446,0.0547764637,0.0559314285,10.49970312
12.00000000,4.68955725,0.48989560,-0.94294565,0.02723371,1.07542959,0.30448239,0.0600312098,0.0563643602,9.49941018
12.20000000,4.58682279,0.57828200,-0.80424392,-0.59495024,-0.47692384,0.81766610,0.0540197577,0.0562135103,10.09503239
12.40000000,4.62431263,0.41108822,-0.71696341,0.97635013,-0.54392547,0.02975742,0.0533229852,0.0559528369,9.97801711
12.60000000,4.80884943,0.48073272,-0.71355617,0.41730083,1.01239292,0.22565592,0.0605969677,0.0563299688,8.84751714
12.80000000,4.74726917,0.63471134,-0.60152369,-0.77829120,0.11812646,0.79391999,0.0567853581,0.0564090008,9.09532765
13.00000000,4.67442375,0.51158020,-0.46381066,0.39357184,-0.93978044,0.46034110,0.0507140924,0.0562759076,9.61479326
13.20000000,4.85634108,0.45207868,-0.40503654,0.95787072,0.51601912,0.25730903,0.0583213436,0.0560528373,8.61769117
13.40000000,4.91396216,0.62997064,-0.32407870,-0.46272626,0.84400674,0.56880315,0.0614206515,0.0567065275,8.22359020
13.60000000,4.75921887,0.65749455,-0.19529487,-0.64772955,-0.64142398,0.64731885,0.0522969281,0.0565144865,9.01723171
13.80000000,4.78514174,0.49387213,-0.08004625,0.85743660,-0.49449332,0.51988348,0.0521683818,0.0562788012,8.98282398
14.00000000,4.95166782,0.55096961,0.02266310,0.39707553,0.91111382,0.51205726,0.0615095480,0.0564676956,8.08592254
14.20000000,4.88214175,0.71748722,0.12006468,-0.94949443,0.37834826,0.45311469,0.0590792813,0.0564066433,8.32239892
14.40000000,4.71924346,0.63957827,0.21199037,-0.25545234,-0.95769917,0.51725853,0.0503657269,0.0568593986,9.25808525
14.60000000,4.81383096,0.51523608,0.33900145,0.85593678,0.08224638,0.71456823,0.0555493096,0.0563830244,8.81203511
14.80000000,4.89085657,0.65724925,0.46198882,-0.32828886,0.97687738,0.43351701,0.0618223061,0.0565073293,8.31933579
15.00000000,4.71538148,0.74404299,0.51139531,-1.04617303,-0.36127025,0.15813220,0.0549146827,0.0561932985,9.18889623
15.20000000,4.64204405,0.57586630,0.58473182,0.45244517,-0.77727593,0.66418031,0.0516238048,0.0567608092,9.76384476
15.40000000,4.76596275,0.59079165,0.73809776,0.28773779,0.86203831,0.65122723,0.0597522634,0.0564002957,9.01447240
15.60000000,4.67061579,0.75647226,0.79085361,-1.07395436,0.29863257,-0.08625906,0.0579070909,0.0559423722,9.42061173
15.80000000,4.51483873,0.64300352,0.79013981,-0.04460151,-1.06135168,0.34863063,0.0518595515,0.0566538236,10.51780809
16.00000000,4.61796358,0.57066114,0.93316693,0.53095432,0.59221951,0.78572485,0.0577520416,0.0562931938,9.88368967
16.20000000,4.57382167,0.74822771,0.99311776,-0.93634447,0.56484141,-0.23283730,0.0583180795,0.0559701151,9.99029965
16.40000000,4.41486905,0.66463721,0.94297492,-0.12290005,-1.10343937,0.13159451,0.0526190505,0.0564177567,11.17873218
16.60000000,4.51595965,0.57923455,1.07016128,0.55749995,0.59926474,0.76162692,0.0574272978,0.0561909775,10.51398064
16.80000000,4.47426608,0.75826898,1.10387529,-0.89908811,0.48384201,-0.45556281,0.0576761632,0.0559805856,10.60682486
17.00000000,4.35080521,0.65088599,1.02861270,0.16405019,-1.09463546,0.15767285,0.0529599745,0.0562689890,11.65692049
17.20000000,4.47528769,0.61033019,1.15139546,0.44305116,0.85410575,0.56939356,0.0580145858,0.0561377613,10.74039934
17.40000000,4.40750560,0.77908312,1.12610526,-0.86543404,0.12592023,-0.69654003,0.0565868130,0.0559981758,11.04274349
17.60000000,4.34855001,0.62877428,1.05404201,0.58322910,-0.89809281,0.32136135,0.0534084242,0.0561351244,11.69157885
17.80000000,4.48969408,0.66324002,1.16116203,0.23121698,1.06982537,0.22806223,0.0587095823,0.0561599618,10.58557084
18.00000000,4.39735736,0.79671780,1.07449190,-0.72457589,-0.28501257,-0.80234506,0.0553824879,0.0560532571,11.11065734
18.20000000,4.40718862,0.62742025,1.01715601,0.87919226,-0.58441366,0.36807829,0.0539729219,0.0560172756,11.25703354
18.40000000,4.55256688,0.71776547,1.08867227,0.09393647,1.11200297,-0.06800965,0.0593012035,0.0562338615,10.13494981
18.60000000,4.45332258,0.82249167,0.96781721,-0.60614149,-0.45079560,-0.82424257,0.0546334975,0.0561261019,10.70880257
18.80000000,4.49452960,0.65474653,0.90059635,0.99013517,-0.47753234,0.20394901,0.0539015478,0.0559550195,10.62889848
19.00000000,4.65686828,0.75037570,0.93591979,0.19126817,1.08915107,-0.16482241,0.0599519400,0.0563007578,9.48935047
19.20000000,4.56791359,0.87260757,0.81337687,-0.68148913,-0.24567816,-0.85159544,0.0551825815,0.0562351005,9.91725360
19.40000000,4.57082200,0.71453199,0.70324874,0.84857180,-0.71458194,-0.13891919,0.0524063157,0.0560212644,10.08424164
